sdss_name,sdss_ra,sdss_dec,sdss_z,sdss_source_z,sdss_zwarning,z_reliable_flag,FIRST,source_tier_first,Fpeak_first,Fint_first,Rms_first,NVSS,source_tier_nvss,S1.4_nvss,e_S1.4_nvss,GLEAM,source_tier_gleam,Fpwide_gleam,e_Fpwide_gleam,Fintwide_gleam,e_Fintwide_gleam,RACS-DR1,source_tier_racs,Fpk_racs,e_Fpk_racs,Ftot_racs,e_Ftot_racs,source_tier_flag
103102.01+010020.0,157.75839303868452,1.005556884677134,3.449,VI,0,1,J103102.1+010020,1,7.34,12.28,0.148,103102+010020,1,13.7,0.6,,NA,,,,,J103102.0+010020,1,15.632,0.379,17.095,0.697,7.0
094822.96+005554.4,147.0957022854604,0.9317869281760507,3.879,VI,0,1,J094822.9+005554,1,2.57,2.32,0.143,,NA,,,,NA,,,,,,NA,,,,,1.0
143634.49+005111.9,219.14373751671093,0.8533278334985883,3.686,VI,0,1,J143634.4+005111,1,2.54,2.03,0.146,143634+005111,1,3.0,0.4,,NA,,,,,J143634.4+005111,1,3.258,0.337,3.456,0.61,7.0
213933.40+005100.8,324.88918765453735,0.8502442295552379,3.41,PIPE,4,3,J213933.4+005101,1,9.55,9.89,0.106,213933+005100,1,9.8,0.5,,NA,,,,,J213933.4+005101,1,10.066,0.315,10.803,0.572,7.0
030437.21+004653.5,46.155059,0.781554,4.266,DR6Q_HW,-1,1,J030437.2+004653,1,20.64,21.0,0.11,030437+004654,1,24.6,0.8,J030438+004652,3,0.063485,0.008483,0.063015,0.0100327,J030437.2+004653,1,29.594,0.433,33.936,1.249,7.0
022213.22+004456.2,35.55510555830266,0.7489711007463958,3.319,VI,0,1,J022213.2+004456,1,3.22,3.05,0.108,022213+004457,3,3.1,0.5,,NA,,,,,,NA,,,,,1.0
133830.27+004222.6,204.62616419153574,0.7063046074264279,3.052,VI,0,1,J133830.2+004223,1,1.44,1.11,0.152,,NA,,,,NA,,,,,,NA,,,,,1.0
025650.90+003611.2,44.21212430320901,0.6031296763549262,3.375,VI,0,1,J025650.9+003611,1,3.56,3.81,0.117,025651+003609,1,4.9,0.5,,NA,,,,,J025650.8+003611,1,5.779,0.43,6.994,0.85,7.0
223535.59+003602.0,338.8983061216305,0.6005672255567439,3.878,VI,0,1,J223535.6+003602,1,4.68,4.41,0.106,223535+003600,1,5.9,0.5,,NA,,,,,J223535.5+003602,1,7.316,0.426,9.45,0.878,7.0
114602.78+003445.4,176.51160091363525,0.5793026938383062,3.04,VI,0,1,J114602.7+003445,1,6.13,6.41,0.199,114602+003449,1,5.5,0.5,,NA,,,,,J114602.7+003445,1,4.969,0.43,4.473,0.701,7.0
002749.04+003300.2,6.9543474038865725,0.550056445164072,3.089,PIPE,0,2,J002748.9+003300,1,16.38,19.21,0.109,002748+003258,1,20.2,0.7,J002748+003255,1,0.131643,0.010081,0.118136,0.0104615,J002748.9+003300,1,33.865,1.058,35.746,1.901,15.0
022337.76+003230.6,35.90734819427971,0.5418569310055621,3.04,VI,0,1,J022337.7+003230,1,3.11,3.04,0.107,022337+003240,1,2.7,0.4,,NA,,,,,,NA,,,,,5.0
030025.23+003224.2,45.105127,0.540065,4.2,DR6Q_HW,-1,1,J030025.2+003224,1,7.72,7.69,0.107,030025+003231,1,6.7,0.5,,NA,,,,,J030025.1+003224,1,3.771,0.463,4.032,0.84,7.0
220445.27+003141.8,331.18864017117255,0.5283004919863019,5.783,PIPE,0,2,J220445.2+003141,1,2.5,2.24,0.106,220445+003148,1,3.6,0.4,,NA,,,,,J220445.2+003143,1,4.957,0.408,5.526,0.76,7.0
135439.61+003139.0,208.66504226136908,0.5275032314243641,3.248,VI,0,1,J135439.6+003138,1,2.97,3.02,0.169,,NA,,,,NA,,,,,J135439.7+003137,1,4.062,0.513,4.665,0.977,3.0
221759.44+003055.2,334.4977028214542,0.5153566241708405,3.095,VI,0,1,J221759.4+003054,1,19.68,20.9,0.099,221759+003054,1,19.2,0.7,,NA,,,,,J221759.4+003055,1,31.325,0.476,31.355,0.826,7.0
233930.00+003017.2,354.8750204526907,0.5048007717623313,3.051,VI,0,1,J233930.0+003017,1,25.39,26.17,0.102,233930+003017,1,26.2,0.9,,NA,,,,,J233930.0+003017,1,18.469,0.35,19.717,0.633,7.0
