sdss_name,sdss_ra,sdss_dec,sdss_z,sdss_source_z,sdss_zwarning,z_reliable_flag,FIRST,match_tier_first,Fpeak_first,Fint_first,Rms_first,NVSS,match_tier_nvss,S1.4_nvss,e_S1.4_nvss,GLEAM,match_tier_gleam,Fpwide_gleam,e_Fpwide_gleam,Fintwide_gleam,e_Fintwide_gleam,RACS-DR1,match_tier_racs,Fpk_racs,e_Fpk_racs,Ftot_racs,e_Ftot_racs,match_tier_flag,match_tier_mark,sep_first,sep_nvss,sep_racs,sep_gleam,resolve_gleam,sdss_name,Sample,Note1,Note2,first_code,nvss_code,racs_code,gleam_code
000252.72-000330.9,0.7197008257211905,-0.058606701,3.679,VI,0,1,J000252.7-000331,1,1.7,1.59,0.097,,,,,,,,,,,,,,,,,1000,1000,0.29,,,,,000252.72-000330.9,good,,,U,ND,ND,ND
000325.24+211158.3,0.8551863911467876,21.19953570288742,3.156,PIPE,0,2,,,,,,000325+211200,1,12.4,0.5,,,,,,,J000325.2+211159,1,10.342,0.723,12.912,1.456,0110,0110,,2.017,0.954,,,000325.24+211158.3,cand A,,,ND,U,U,ND
000329.39+325313.3,0.8724722101021598,32.88704273296006,3.016,PIPE,0,2,,,,,,000328+325313,3,5.9,0.5,,,,,,,,,,,,,0100,0300,,5.506,,,,000329.39+325313.3,cand A,,,ND,U,ND,ND
000420.93-094615.7,1.0872427960890008,-9.771050382,3.019,VI,0,1,J000420.9-094615,1,21.88,23.07,0.14,000420-094617,1,22.5,0.8,J000420-094609,3,0.061516,0.009492,0.061427,0.0118448,J000420.9-094615,1,23.512,0.302,24.893,0.545,1111,1113,0.216,1.527,0.205,13.278,0.998,000420.93-094615.7,good B,,radio slightly affect 4,U,U,U,Uaf
000423.99-102050.1,1.0999974591507282,-10.34726743,3.144,VI,0,1,J000423.9-102049,1,2.4,2.57,0.135,,,,,,,,,,,,,,,,,1000,1000,1.017,,,,,000423.99-102050.1,good,,,U,ND,ND,ND
000548.82+195317.9,1.453438803167785,19.88830645614839,3.171,VI,0,1,,,,,,000548+195318,1,168.5,5.1,,,,,,,J000548.6+195319,1,62.214,3.393,81.852,7.126,0110,0110,,0.615,2.906,,,000548.82+195317.9,good,,,ND,U,U,ND
000557.45+051414.1,1.4894086220276677,5.237259648709343,4.804,PIPE,0,2,J000557.5+051414,1,1.13,0.71,0.114,,,,,,,,,,,,,,,,,1000,1000,0.891,,,,,000557.45+051414.1,cand A,,,U,ND,ND,ND
000559.81+084425.0,1.4992373082033623,8.740281017276036,4.289,PIPE,4,3,J000559.8+084424,1,1.42,1.08,0.121,000600+084426,3,2.4,0.4,,,,,,,J000559.7+084424,3,3.509,0.518,3.813,0.953,1110,1330,0.298,3.879,1.836,,,000559.81+084425.0,rejected A,redshift unreliable,,,,,
000609.73-064702.9,1.5405510270702791,-6.784144019,3.053,VI,0,1,,,,,,,,,,J000611-064634,3,0.187292,0.009461,0.181692,0.0108204,,,,,,,0001,0003,,,,39.52,0.97,000609.73-064702.9,rejected B,cp closer,,ND,ND,ND,Ucp
000616.89+034122.1,1.5703872742817566,3.6894950019032846,3.045,PIPE,0,2,J000616.8+034122,1,5.29,5.11,0.134,000616+034115,3,7,0.5,,,,,,,J000616.9+034126,3,6.739,0.434,9.35,1.131,1110,1330,0.323,8.019,4.259,,,000616.89+034122.1,cand A,,,U,U,SE,ND
000730.82+160732.5,1.8784554339578676,16.125709502070922,3.522,VI,64,1,,,,,,000730+160734,1,9.6,0.5,,,,,,,J000730.7+160732,1,9.703,1.144,11.904,2.291,0110,0110,,2.34,0.699,,,000730.82+160732.5,good,,,ND,U,U,ND
000740.50+210509.3,1.9187757481408312,21.08592137227099,3.105,PIPE,0,2,,,,,,000741+210520,1,2.8,0.5,,,,,,,,,,,,,0100,0100,,16.515,,,,000740.50+210509.3,cand C,radio or mix,,ND,Uoff,ND,ND
000753.27+110436.4,1.9719782543181168,11.076791002568251,3.096,PIPE,0,2,,,,,,000753+110434,1,21.5,0.8,,,,,,,J000753.2+110436,1,21.271,0.62,23.068,1.134,0110,0110,,1.657,0.896,,,000753.27+110436.4,cand A,,,ND,U,U,ND
000834.72+293720.6,2.14469462604859,29.622403073385637,3.013,VI,0,1,,,,,,000834+293720,3,11.7,0.5,,,,,,,,,,,,,0100,0300,,1.318,,,,000834.72+293720.6,good B,,cand be dominated by RG,ND,Uaf,ND,ND
000920.79+130851.2,2.336648734066898,13.147559374889909,3.248,VI,0,1,,,,,,,,,,J000922+130821,3,0.104414,0.019498,0.095383,0.0218943,,,,,,,0001,0003,,,,35.008,0.913,000920.79+130851.2,rejected B,radio dominate,,ND,ND,ND,Ucp
000950.50+141002.1,2.460457139460459,14.167255440463425,3.144,VI,0,1,,,,,,000950+141001,3,5.3,0.4,,,,,,,J000950.5+141003,3,3.515,0.448,2.767,0.663,0110,0330,,1.218,1.024,,,000950.50+141002.1,good,,,ND,U,U,ND
001115.23+144601.8,2.8134867902183487,14.767168123081207,4.964,VI,0,1,J001115.2+144601,1,23.96,24.27,0.146,001115+144603,1,35.8,1.5,J001114+144611,3,0.082335,0.015462,0.109729,0.0273167,J001115.4+144607,1,26.668,0.341,38.544,1.08,1111,1113,0.277,2.391,6.552,13.755,1.332,001115.23+144601.8,cand B,radio contaminating 234,,M,SE,SEaf,Eoff
001141.74-000418.9,2.923933858221176,-0.071931557,3.076,VI,0,1,,,,,,,,,,J001140-000333,3,0.089552,0.010022,0.095904,0.0128959,,,,,,,0001,0003,,,,46.976,1.071,001141.74-000418.9,rejected B,radio dominate,,ND,ND,ND,Ucp
001248.22-012933.2,3.2009277252102635,-1.49256188,3.168,VI,0,1,J001248.2-012932,1,4.23,4.59,0.145,001248-012931,3,4.3,0.5,,,,,,,J001248.2-012932,3,5.663,0.492,5.78,0.866,1110,1330,0.347,1.988,1.079,,,001248.22-012933.2,good,,,U,U,U,ND
001251.92+140820.5,3.2163732619691245,14.139055354277682,3.009,VI,0,1,J001251.9+140820,1,1.57,1.74,0.164,,,,,,,,,,,J001252.0+140820,1,2.616,0.338,2.767,0.608,1010,1010,0.629,,2.093,,,001251.92+140820.5,good,,,U,ND,U,ND
001311.62+341513.9,3.2984334941167504,34.25386586796164,4.033,VI,0,1,,,,,,001311+341513,1,50,1.6,,,,,,,,,,,,,0100,0100,,0.457,,,,001311.62+341513.9,good,,,ND,U,ND,ND
001328.20+135827.9,3.3675300080266197,13.974440996951738,3.573,VI,0,1,,,,,,,,,,,,,,,,J001328.2+135824,3,4.136,0.305,4.71,0.578,0010,0030,,,3.149,,,001328.20+135827.9,rejected B,cp,,ND,ND,Ucp,ND
001341.44+094754.0,3.4226900448813353,9.798341144606216,3.379,VI,0,1,J001341.4+094753,1,3.36,2.66,0.117,001341+094756,3,4.9,0.5,,,,,,,J001341.5+094754,3,3.621,0.319,4.402,0.636,1110,1330,0.192,2.764,2.05,,,001341.44+094754.0,good B,,23 slightly affected by cp or radio,U,Uaf,U,ND
001357.16-083334.7,3.4882017486578434,-8.559647787,4.193,VI,0,1,,,,,,001357-083334,3,34.3,1.5,J001356-083332,3,0.148721,0.009031,0.150197,0.010575,J001357.2-083333,3,27.984,0.401,51.927,1.035,0111,0333,,2.87,1.741,3.87,1.01,001357.16-083334.7,good B,RG?,,ND,E,FRII,Uaf
001504.94+131628.5,3.770611321046374,13.274585903134048,3.029,VI,0,1,,,,,,001505+131628,1,23.1,0.8,,,,,,,J001504.9+131629,1,40.438,0.38,41.514,0.669,0110,0110,,1.773,1.109,,,001504.94+131628.5,good,,,ND,U,U,ND
001512.32+355148.5,3.8013636724215303,35.86349019890334,4.585,PIPE,0,2,,,,,,001512+355204,1,2.4,0.4,,,,,,,,,,,,,0100,0100,,17.183,,,,001512.32+355148.5,cand A,can be radio affected,,ND,Uaf,ND,ND
001517.94+000935.5,3.824788919737925,0.159882956708128,3.255,VI,0,1,,,,,,,,,,J001522+000920,3,0.393,0.010052,0.403457,0.0119402,,,,,,,0001,0003,,,,69.397,1.026,001517.94+000935.5,rejected B,cp dominate,,ND,ND,ND,Ucp
001519.42+100923.7,3.8309330153456926,10.15659371909173,3.641,PIPE,68,3,,,,,,,,,,J001521+100958,3,0.492071,0.014024,0.45153,0.0149008,,,,,,,0001,0003,,,,43.597,0.917,001519.42+100923.7,rejected A,redshift unreliable,,,Ucp,Ucp,Ucp
001547.20+130027.1,3.946672251310247,13.007536056063742,3.68,VI,0,1,,,,,,001547+130028,3,5,0.5,,,,,,,J001547.1+130027,1,7.291,0.404,7.875,0.736,0110,0310,,1.151,0.895,,,001547.20+130027.1,good,,,ND,U,U,ND
001555.17-091431.5,3.979899100596128,-9.242097033,3.028,VI,0,1,,,,,,,,,,J001554-091448,3,0.048721,0.007892,0.063909,0.0139433,,,,,,,0001,0003,,,,19.95,1.312,001555.17-091431.5,rejected B,"4, radio or mix",,ND,ND,ND,Uoff
001555.43+064001.3,3.9809867818498783,6.667045038210433,3.166,VI,0,1,,,,,,001555+063945,3,2.7,0.5,,,,,,,,,,,,,0100,0300,,18.12,,,,001555.43+064001.3,rejected B,can be radio,,ND,Uoff,ND,ND
001650.66+073008.3,4.211099639356007,7.502309166054368,3.159,VI,0,1,J001650.6+073008,1,19.21,19.53,0.126,001650+073007,1,20.7,0.7,,,,,,,J001650.6+073008,1,22.115,0.91,22.634,1.601,1110,1110,0.291,1.314,0.269,,,001650.66+073008.3,good,,,U,U,U,ND
001722.22+242309.1,4.34258889415355,24.385865105432497,3.268,PIPE,64,3,,,,,,,,,,,,,,,,J001722.3+242312,1,2.404,0.348,2.723,0.66,0010,0010,,,3.875,,,001722.22+242309.1,rejected A,redshift unreliable,,,Ucp,Ucp,Ucp
001754.31-022258.0,4.476297495393075,-2.382793035,3.224,VI,0,1,,,,,,001754-022249,3,3.2,0.4,,,,,,,J001754.3-022257,1,6.14,0.719,7.453,1.421,0110,0310,,8.95,0.299,,,001754.31-022258.0,good B,,2 affected by cp,ND,Uaf,U,ND
001915.98+203131.6,4.816610722454129,20.52545256656134,3.116,PIPE,0,2,,,,,,001915+203132,1,150,5.3,J001916+203127,3,0.507821,0.016769,0.454583,0.0173823,J001915.9+203132,1,210.143,0.918,205.955,1.569,0111,0113,,0.807,1.039,9.806,0.895,001915.98+203131.6,cand A,,cp may affect 4,ND,U,U,SEaf
002010.41+025121.5,5.043408800800194,2.855987066126349,3.101,VI,0,1,,,,,,002010+025122,3,2.3,0.4,,,,,,,,,,,,,0100,0300,,6.826,,,,002010.41+025121.5,good B,affected by radio,,ND,Uaf,ND,ND
002109.94+233856.1,5.291455180151502,23.64892481858008,3.045,VI,0,1,,,,,,,,,,J002112+233810,3,0.135066,0.023478,0.119822,0.0248554,,,,,,,0001,0003,,,,54.796,0.887,002109.94+233856.1,rejected B,radio or cp,,ND,ND,ND,Ucp
002110.98+110352.5,5.295774413930303,11.064606791918232,5.042,PIPE,0,2,,,,,,,,,,,,,,,,J002111.2+110352,1,1.6,0.337,3.262,0.973,0010,0010,,,4.392,,,002110.98+110352.5,cand A,ext or radio affected,,ND,ND,SE,ND
002120.04+155125.6,5.33353667444851,15.857138605958465,3.695,VI,0,1,,,,,,002120+155125,1,62.6,2.3,,,,,,,J002120.0+155126,1,77.077,0.688,79.891,1.221,0110,0110,,1.214,0.823,,,002120.04+155125.6,good,,,ND,U,U,ND
002201.24+102932.9,5.505182622252619,10.49248257068468,3.192,VI,0,1,J002201.3+102932,1,1.64,1.04,0.152,,,,,,,,,,,J002201.2+102932,1,1.862,0.327,1.867,0.573,1010,1010,1.059,,0.98,,,002201.24+102932.9,good,,,U,ND,U,ND
002225.55+080312.8,5.60647676258634,8.05356851726097,3.317,VI,0,1,,,,,,,,,,J002224+080225,3,0.168559,0.011493,0.188331,0.014928,,,,,,,0001,0003,,,,50.704,1.117,002225.55+080312.8,rejected B,cp,,ND,ND,ND,Ucp
002225.68+050208.7,5.60703476887528,5.035771193689178,3.161,VI,0,1,J002225.6+050209,1,97.72,100.93,0.106,002225+050209,1,135.1,4.1,J002225+050207,3,0.275677,0.010991,0.250181,0.0114753,J002225.6+050209,1,166.568,1.013,170.16,1.781,1111,1113,0.25,0.845,1.154,2.461,0.907,002225.68+050208.7,good,,,U,U,SE,U
002232.44+060804.3,5.635188524727994,6.134531257578618,5.853,PIPE,4,3,J002232.4+060804,1,371.3,382.12,0.182,002232+060804,1,339.7,10.2,J002231+060756,3,0.158797,0.010818,0.162461,0.0128288,J002232.4+060805,1,283.529,1.865,305.597,3.397,1111,1113,0.228,0.342,0.962,12.176,1.023,002232.44+060804.3,rejected A,redshift unreliable,,,Ucp,Ucp,Ucp
002247.11+094829.3,5.696301738034549,9.808160614484107,3.195,VI,0,1,,,,,,,,,,,,,,,,J002246.6+094819,1,1.565,0.3,3.989,1.023,0010,0010,,,12.502,,,002247.11+094829.3,rejected B,radio dominate?,,ND,ND,Uoff,ND
002435.04+234415.5,6.146004899043646,23.73764472633968,3.021,PIPE,0,2,,,,,,,,,,J002433+234438,3,0.278164,0.020109,0.267966,0.022577,,,,,,,0001,0003,,,,28.022,0.963,002435.04+234415.5,rejected B,can be mix,,ND,ND,ND,Ucp
002502.94+004139.4,6.262271429494229,0.6942880460081076,3.331,VI,0,1,,,,,,,,,,J002459+004204,3,0.063195,0.009826,0.061877,0.0118724,,,,,,,0001,0003,,,,59.429,0.979,002502.94+004139.4,rejected B,cp,,ND,ND,ND,Ucp
002552.81-040719.5,6.470045704272863,-4.122100394,3.069,VI,0,1,,,,,,,,,,J002551-040644,3,0.520626,0.010063,0.515734,0.0115284,,,,,,,0001,0003,,,,38.746,0.99,002552.81-040719.5,rejected B,cp,,ND,ND,ND,Ucp
002625.85-043421.9,6.607727407582175,-4.572768985,3.15,PIPE,0,2,J002625.8-043422,1,4.04,3.6,0.161,002625-043430,3,5.3,0.5,,,,,,,J002625.8-043422,1,5.085,0.338,4.918,0.574,1110,1310,0.214,8.223,0.56,,,002625.85-043421.9,cand A,,2 slightly affected by radio,U,Eaf,U,ND
002719.19+173454.0,6.82998647177709,17.581669121221065,3.843,VI,0,1,,,,,,,,,,J002714+173500,3,0.136554,0.014033,0.153962,0.0185696,,,,,,,0001,0003,,,,61.194,1.127,002719.19+173454.0,rejected B,radio,,ND,ND,ND,Ucp
002749.04+003300.2,6.9543474038865725,0.550056445164072,3.089,PIPE,0,2,J002748.9+003300,1,16.38,19.21,0.109,002748+003258,1,20.2,0.7,J002748+003255,3,0.131643,0.010081,0.118136,0.0104615,J002748.9+003300,1,33.865,1.058,35.746,1.901,1111,1113,1.226,1.827,1.218,5.848,0.897,002749.04+003300.2,good,,,U,U,U,U
002809.99+190629.4,7.041637918735489,19.108184138375133,3.498,PIPE,0,2,,,,,,002809+190631,1,4.9,0.4,,,,,,,J002810.0+190630,1,5.763,0.437,6.626,0.834,0110,0110,,5.356,1.762,,,002809.99+190629.4,cand A,,,ND,U,U,ND
002820.55+091905.6,7.085641231145587,9.318230461611083,3.049,PIPE,0,2,,,,,,,,,,J002821+091811,3,0.200775,0.013615,0.203016,0.0159862,,,,,,,0001,0003,,,,56.655,1.011,002820.55+091905.6,rejected B,cp,,ND,ND,ND,Ucp
002856.15+062337.9,7.233974287778835,6.393887122631469,3.135,VI,0,1,J002856.2+062337,1,1.33,1.11,0.124,,,,,,,,,,,J002856.3+062339,1,2.58,0.453,2.24,0.715,1010,1010,0.766,,2.848,,,002856.15+062337.9,good,,,U,ND,U,ND
002949.11+004541.9,7.454639316584263,0.7616557367974127,3.189,VI,0,1,,,,,,,,,,J002948+004444,3,0.506552,0.010416,0.490283,0.011607,,,,,,,0001,0003,,,,58.442,0.968,002949.11+004541.9,rejected B,cp,,ND,ND,ND,Ucp
003004.72+275325.0,7.519692761993497,27.89030283893375,3.095,VI,0,1,,,,,,003005+275320,1,3.5,0.4,,,,,,,J003004.8+275323,1,1.96,0.217,2.005,0.381,0110,0110,,8.193,1.621,,,003004.72+275325.0,good B,,2 affected by nearby source,ND,Uaf,U,ND
003011.78+004749.9,7.549089082493693,0.7972193472230059,3.118,VI,0,1,,,,,,003011+004745,3,3,0.5,,,,,,,,,,,,,0100,0300,,7.172,,,,003011.78+004749.9,good B,affected by radio or cp,,ND,Uaf,ND,ND
003015.07+032557.4,7.562806451683343,3.4326165694832436,3.29,PIPE,0,2,,,,,,,,,,J003014+032528,3,0.129231,0.010498,0.135929,0.0128446,,,,,,,0001,0003,,,,29.475,1.052,003015.07+032557.4,rejected B,cp closer,,ND,ND,ND,Ucp
003056.66-041710.2,7.736089260001364,-4.286188779,3.033,VI,0,1,,,,,,003057-041734,3,3.8,0.6,,,,,,,,,,,,,0100,0300,,24.581,,,,003056.66-041710.2,rejected B,can be radio,,ND,Uoff,ND,ND
003126.79+150739.5,7.861658484937266,15.12764499562877,4.29,VI,0,1,J003126.7+150739,1,42.97,43.4,0.133,003126+150738,1,41.9,1.3,,,,,,,J003126.8+150740,1,33.047,0.348,33.636,0.609,1110,1110,0.353,0.841,1.107,,,003126.79+150739.5,good,,,U,U,U,ND
003146.62+145519.5,7.944272381859264,14.922083807248631,3.361,VI,0,1,,,,,,003146+145519,1,6.7,0.4,,,,,,,J003146.6+145520,1,5.721,0.32,5.284,0.528,0110,0110,,0.975,1.348,,,003146.62+145519.5,good,,,ND,U,U,ND
003205.37-041416.2,8.02240730241023,-4.237838767,3.16,VI,0,1,J003205.2-041416,1,25.32,34.55,0.161,003205-041417,1,41.7,1.6,J003204-041455,3,0.492231,0.009997,0.542901,0.0129605,,,,,,,1101,1103,1.585,2.797,,42.846,1.103,003205.37-041416.2,cand B,nearby RG dominate 24,only have 1,E,OIIoff,ND,SEoff
003305.54-010112.4,8.27308752167528,-1.02012896,3.018,VI,0,1,,,,,,,,,,J003309-010121,3,0.078428,0.011264,0.094958,0.0166831,,,,,,,0001,0003,,,,58.129,1.21,003305.54-010112.4,rejected B,cp,,ND,ND,ND,Ucp
003407.66+073432.8,8.531951416025777,7.57578439094368,3.526,VI,0,1,J003407.6+073432,1,186.72,191.23,0.104,003407+073433,1,181,5.4,J003407+073428,3,0.150075,0.012283,0.141285,0.013354,J003407.6+073433,1,216.186,0.98,226.358,1.75,1111,1113,0.119,0.759,0.848,3.953,0.941,003407.66+073432.8,good,,radio slightly affect 4,U,U,U,SE
003505.77-011635.4,8.774050286088851,-1.276520471,3.045,VI,4,1,J003505.7-011635,1,3.32,3.16,0.188,,,,,,,,,,,,,,,,,1000,1000,0.436,,,,,003505.77-011635.4,good,,,U,ND,ND,ND
003508.59+174502.3,8.785832996769841,17.75064188093484,3.414,VI,0,1,,,,,,003508+174502,1,11.4,0.5,,,,,,,J003508.5+174503,1,13.057,0.609,14.517,1.133,0110,0110,,0.687,0.923,,,003508.59+174502.3,good,,,ND,U,U,ND
003514.72+151504.1,8.811342306669928,15.251158506640568,5.108,VI,4,1,J003514.7+151504,1,15.49,16.05,0.164,003514+151502,1,17.5,0.7,,,,,,,J003514.6+151505,1,16.461,0.298,17.234,0.533,1110,1110,0.248,2.04,1.313,,,003514.72+151504.1,good,,extended,U,U,U,ND
003546.20+140523.0,8.942509236545789,14.089747147716722,3.31,VI,0,1,,,,,,003546+140524,1,24.1,0.8,J003547+140515,3,0.094884,0.013854,0.078032,0.0134611,J003546.1+140523,1,35.562,0.384,36.271,0.674,0111,0113,,1.031,1.232,14.353,0.822,003546.20+140523.0,good B,,radio affect 4 or ext,ND,U,U,Uaf
003604.75-033934.9,9.01979572014065,-3.659695437,3.154,VI,0,1,,,,,,003604-033918,3,3.9,0.5,,,,,,,,,,,,,0100,0300,,17.085,,,,003604.75-033934.9,rejected B,cp,,ND,Ucp,ND,ND
003626.02+045533.4,9.108430335196031,4.9259713472663975,3.295,VI,0,1,,,,,,003625+045518,3,10.5,0.5,,,,,,,,,,,,,0100,0300,,14.861,,,,003626.02+045533.4,rejected B,cp,,ND,Ucp,ND,ND
003708.46+002855.8,9.285266479386564,0.4821735363945755,3.033,VI,0,1,,,,,,003708+002833,3,2.6,0.5,,,,,,,,,,,,,0100,0300,,22.641,,,,003708.46+002855.8,rejected B,cp or radio,,ND,Ucp,ND,ND
003716.52+193853.7,9.318856365867305,19.648277062817353,3.249,VI,0,1,,,,,,,,,,J003717+193937,3,1.568732,0.015146,1.526483,0.0170978,,,,,,,0001,0003,,,,44.66,0.973,003716.52+193853.7,rejected B,cp closer,,ND,ND,ND,Uoff
003722.73+151007.7,9.344743013436414,15.168808002771437,3.146,VI,0,1,J003722.7+151007,1,2.27,1.94,0.153,,,,,,,,,,,J003722.6+151008,1,2.466,0.342,3.101,0.694,1010,1010,0.434,,1.293,,,003722.73+151007.7,good,,,U,ND,U,ND
003800.19+160638.9,9.500831701641232,16.11081342187122,3.345,VI,0,1,,,,,,003800+160638,1,95,2.9,J003758+160646,3,0.069548,0.012668,0.093891,0.0220629,J003800.1+160639,1,101.012,0.495,101.61,0.861,0111,0113,,0.312,1.024,19.291,1.35,003800.19+160638.9,good B,,cp affect 4,ND,U,U,Uaf
003843.98+031120.9,9.683276650663402,3.189141097906384,3.674,VI,0,1,J003843.9+031120,1,113.82,121.47,0.13,003843+031120,1,113.2,3.4,J003844+031119,3,0.511278,0.011126,0.504563,0.0126595,J003843.9+031121,1,178.06,0.695,182.707,1.225,1111,1113,0.135,0.719,0.768,1.807,0.987,003843.98+031120.9,good,,cp may affect 4,U,U,U,U
003906.78-071042.6,9.77829136678831,-7.178515885,3.308,PIPE,0,2,J003906.7-071042,1,6,6,0.157,003906-071043,3,8.9,0.5,,,,,,,J003906.7-071043,1,8.483,0.363,9.494,0.68,1110,1310,0.323,2.28,1.303,,,003906.78-071042.6,cand A,,,U,U,U,ND
004112.33+073650.9,10.301398621517876,7.614149959968928,3.024,VI,0,1,J004112.3+073650,1,153.93,163.97,0.1,004112+073650,1,186.3,5.6,J004112+073656,3,0.411675,0.01046,0.393617,0.0115378,J004112.2+073651,1,226.456,1.663,239.095,2.987,1111,1113,0.205,0.356,1.017,6.566,0.956,004112.33+073650.9,good,,,U,U,U,U
004124.21+123851.8,10.35091111320054,12.6477239208234,3.018,VI,0,1,,,,,,,,,,J004120+123813,3,0.277106,0.012111,0.412781,0.0210829,,,,,,,0001,0003,,,,62.496,1.489,004124.21+123851.8,rejected B,cp,,ND,ND,ND,Ucp
004131.86+221017.2,10.382771662878667,22.17146714271189,3.193,VI,0,1,,,,,,,,,,,,,,,,J004131.7+221019,1,2.464,0.361,3.141,0.741,0010,0010,,,3.447,,,004131.86+221017.2,good,,,ND,ND,U,ND
004139.41+210455.5,10.414215448880327,21.0821077779899,3.054,VI,0,1,,,,,,,,,,J004144+210424,3,0.194719,0.015544,0.226196,0.0211426,,,,,,,0001,0003,,,,75.324,1.161,004139.41+210455.5,rejected B,cp or radio,,ND,ND,ND,Ucp
004149.82+050702.9,10.457586804254449,5.117492507217614,3.131,VI,0,1,J004149.8+050702,1,1.69,1.17,0.142,,,,,,,,,,,,,,,,,1000,1000,0.259,,,,,004149.82+050702.9,good,,,U,ND,ND,ND
004210.51-064211.7,10.543801364679751,-6.70325273,3.201,PIPE,0,2,,,,,,004211-064230,3,3.4,0.6,,,,,,,,,,,,,0100,0300,,23.516,,,,004210.51-064211.7,rejected B,can be radio,,ND,Uoff,ND,ND
004218.72+003237.0,10.578000891823308,0.5436277346719738,3.059,VI,0,1,,,,,,,,,,J004219+003305,3,0.056378,0.010325,0.063915,0.0153917,,,,,,,0001,0003,,,,29.139,1.133,004218.72+003237.0,rejected B,cp,,ND,ND,ND,Ucp
004257.64-052348.2,10.740186567405658,-5.396737343,5.597,PIPE,4,3,J004257.6-052348,1,3.23,5.46,0.399,004257-052349,1,7.4,0.5,,,,,,,J004257.5-052348,1,2.938,0.454,3.885,0.958,1110,1110,0.521,1.071,2.026,,,004257.64-052348.2,rejected A,redshift unreliable,,,,,
004348.84+342626.1,10.953502089538349,34.440608567682375,3.514,PIPE,0,2,,,,,,004348+342626,3,92.8,2.8,,,,,,,,,,,,,0100,0300,,0.235,,,,004348.84+342626.1,cand A,,perfect single fit,ND,U,ND,ND
