sdss_name,ra,dec,sdss_z,sdss_source_z,FIRST,source_tier_first,NVSS_1,source_tier_nvss,GLEAM,source_tier_gleam,RACS-DR1,source_tier_racs,_RAJ2000,_DEJ2000,recno,NVSS_2,RAJ2000,DEJ2000,e_RAJ2000,e_DEJ2000,S1.4,e_S1.4,l_MajAxis,MajAxis,l_MinAxis,MinAxis,f_resFlux
075910.06+283310.8,119.79192491005938,28.55301402748549,3.59,VI,J075910.0+283311,1,075910+283311,1,J075909+283324,1,J075910.0+283311,1,119.7919167,28.5530833,591148,075910+283311,07 59 10.06,+28 33 11.1,0.04,0.6,53.9,1.7,<,17.7,<,17.0,
003407.66+073432.8,8.531951416025777,7.57578439094368,3.526,VI,J003407.6+073432,1,003407+073433,1,J003407+073428,1,J003407.6+073433,1,8.5317917,7.5759167,42029,003407+073433,00 34 07.63,+07 34 33.3,0.03,0.6,181.0,5.4,<,17.6,<,16.3,
222951.52-012934.4,337.46468934503247,-1.492899185,3.504,VI,J222951.5-012934,1,222951-012934,1,J222951-012929,1,J222951.5-012934,1,337.4645417,-1.4928333,1664656,222951-012934,22 29 51.49,-01 29 34.2,0.03,0.6,79.7,2.4,<,19.4,<,14.3,
134052.33+090651.6,205.2180484084655,9.114351886930201,3.467,VI,J134052.3+090651,1,134052+090651,1,J134052+090656,1,J134052.2+090651,1,205.2179167,9.11425,1010878,134052+090651,13 40 52.30,+09 06 51.3,0.03,0.6,164.8,5.0,<,17.2,<,16.4,P*
110257.39+073821.4,165.73913557589054,7.639303592860876,3.45,VI,J110257.4+073821,1,110257+073820,1,J110257+073826,1,J110257.4+073822,1,165.73925,7.6391389,816561,110257+073820,11 02 57.42,+07 38 20.9,0.04,0.6,48.4,1.5,<,19.6,<,18.0,
014149.55-044026.3,25.45648345868338,-4.673986215,3.43,VI,J014149.5-044026,1,014149-044026,1,J014149-044025,1,J014149.9-044026,1,25.4579167,-4.6740278,125095,014149-044026,01 41 49.90,-04 40 26.5,0.04,0.7,32.8,1.1,<,21.1,<,18.3,
084223.00+001001.7,130.59584675163632,0.1671475170986897,3.421,VI,J084223.0+001002,1,084222+001003,1,J084222+001003,1,J084222.8+001002,1,130.5956667,0.1675833,644244,084222+001003,08 42 22.96,+00 10 03.3,0.07,1.0,16.5,0.6,<,24.8,<,19.4,
084825.04+200011.7,132.1043562528554,20.003271113596465,3.418,VI,J084825.0+200011,1,084825+200011,1,J084824+200026,1,J084825.0+200011,1,132.1044583,20.0033056,651758,084825+200011,08 48 25.07,+20 00 11.9,0.04,0.6,54.7,1.7,<,17.2,<,15.5,
113502.79+080200.0,173.76165011303982,8.033338217283998,3.412,VI,J113502.8+080200,1,113502+080200,1,J113503+080139,1,J113502.7+080201,1,173.7614583,8.0335556,856230,113502+080200,11 35 02.75,+08 02 00.8,0.07,1.1,14.4,0.6,<,21.6,<,19.9,
020624.40-091617.3,31.601706538507578,-9.271477084,3.41,VI,J020624.4-091617,1,020624-091618,1,J020624-091615,1,J020624.3-091616,1,31.6014583,-9.2717778,155409,020624-091618,02 06 24.35,-09 16 18.4,0.03,0.6,73.0,2.2,<,19.3,<,14.4,
