sdss_name,ra,dec,sdss_z,sdss_source_z,FIRST_1,source_tier_first,NVSS,source_tier_nvss,GLEAM,source_tier_gleam,RACS-DR1,source_tier_racs,_RAJ2000,_DEJ2000,FIRST_2,FITS,RAJ2000,DEJ2000,p(S),Fpeak,Fint,Rms,Maj,Min,PA,N1,c1,N2,Ep,Ep(JD),s_Ep(JD)
081310.80+131629.3,123.29502852048007,13.274831097302817,3.266,VI,J081310.8+131629,1,081310+131629,1,J081311+131627,1,J081310.6+131629,1,123.29500833,13.27485833,J081310.8+131629,FITS,08 13 10.802,+13 16 29.49,0.014,70.12,71.23,0.136,0.76,0.58,90.0,1,s,0,1999.84,2451486.3,126.961
150021.42+144630.7,225.08927065119087,14.77521805444698,3.251,VI,J150021.4+144630,1,150021+144629,1,J150022+144622,1,J150021.4+144630,1,225.0893125,14.77509722,J150021.4+144630,FITS,15 00 21.435,+14 46 30.35,0.014,42.07,43.95,0.138,1.15,1.13,90.0,1,s,0,1999.947,2451525.1,0.619
133121.81+000248.4,202.84090827116734,0.04679241162240384,3.233,VI,J133121.8+000248,1,133121+000249,1,J133123+000230,1,J133121.8+000247,1,202.84094167,0.04684167,J133121.8+000248,FITS,13 31 21.826,+00 02 48.63,0.014,90.27,93.96,0.147,1.28,1.03,90.5,1,s,0,1998.606,2451035.9,0.477
131049.64+162858.2,197.70684183321492,16.482856578423334,3.222,VI,J131049.6+162858,1,131049+162858,1,J131049+162854,1,J131049.6+162858,1,197.70687917,16.48277778,J131049.6+162858,FITS,13 10 49.651,+16 28 58.00,0.014,104.06,133.56,0.141,4.17,0.95,143.7,2,s,0,1999.848,2451488.9,1.335
085336.64+174347.8,133.40270636820907,17.729971706210375,3.219,VI,J085336.6+174348,1,085336+174348,1,J085336+174330,1,J085336.6+174348,1,133.40267917,17.73006389,J085336.6+174348,FITS,08 53 36.643,+17 43 48.23,0.014,39.63,40.43,0.151,1.1,0.0,133.2,1,s,0,1999.894,2451506.0,5.0
104645.61+034936.0,161.69006140313286,3.826676110839202,3.216,VI,J104645.6+034935,1,104645+034936,1,J104645+034930,1,J104645.6+034935,1,161.6901,3.82659167,J104645.6+034935,FITS,10 46 45.624,+03 49 35.73,0.014,113.75,119.51,0.142,1.57,0.87,77.1,3,s,0,1998.925,2451152.2,354.236
140501.12+041535.8,211.254673,4.259948,3.209,DR6Q_HW,J140501.1+041535,1,140501+041536,1,J140501+041534,1,J140501.0+041535,1,211.25464167,4.25996389,J140501.1+041535,FITS,14 05 01.114,+04 15 35.87,0.014,1013.78,1055.9,0.165,1.35,0.99,53.7,1,s,0,2001.191,2451980.1,5.102
090052.38+135730.8,135.21828803380552,13.958563801279269,3.203,VI,J090052.3+135730,1,090052+135730,1,J090051+135728,1,J090052.3+135730,1,135.21827917,13.95856111,J090052.3+135730,FITS,09 00 52.387,+13 57 30.82,0.014,39.59,42.22,0.151,1.64,1.09,128.8,1,s,0,1999.954,2451527.7,3.055
082303.22+052907.6,125.76344093034743,5.485462042673814,3.197,VI,J082303.2+052907,1,082303+052908,1,J082302+052856,1,J082303.2+052907,1,125.7634,5.485525,J082303.2+052907,FITS,08 23 03.216,+05 29 07.89,0.014,10.68,11.21,0.197,1.79,0.0,123.5,1,s,0,2000.115,2451586.5,0.476
155834.03+130416.1,239.64180698260697,13.071164566528994,3.195,VI,J155834.0+130416,1,155834+130416,1,J155833+130427,1,J155834.0+130415,1,239.64183333,13.07116389,J155834.0+130416,FITS,15 58 34.040,+13 04 16.19,0.014,76.86,79.71,0.151,1.12,0.95,90.0,1,s,0,2000.001,2451544.8,1.894
094113.55+114532.2,145.30647087934034,11.75896676958523,3.194,VI,J094113.5+114532,1,094113+114533,1,J094116+114518,1,J094113.4+114531,1,145.30650833,11.75895,J094113.5+114532,FITS,09 41 13.562,+11 45 32.22,0.014,212.32,220.19,0.154,1.23,0.81,16.1,1,s,0,2000.004,2451546.0,1.292
145722.53+051921.8,224.34389322474303,5.322734110343889,3.178,VI,J145722.5+051921,1,145722+051922,1,J145722+051921,1,J145722.5+051920,1,224.34390417,5.32273611,J145722.5+051921,FITS,14 57 22.537,+05 19 21.85,0.014,119.68,121.06,0.146,0.79,0.21,48.5,3,s,0,2000.116,2451586.8,0.458
125811.98+282748.5,194.54993508487757,28.4634830630339,3.177,VI,J125811.9+282748,1,125811+282749,1,J125811+282745,1,J125811.9+282749,1,194.5498125,28.46358056,J125811.9+282748,FITS,12 58 11.955,+28 27 48.89,0.014,82.69,88.52,0.161,1.7,1.12,91.2,1,s,0,1993.72,2449251.3,329.868
082209.92+231011.8,125.54135708709072,23.16995594761185,3.175,VI,J082209.9+231011,1,082209+231011,1,J082209+231023,1,J082209.8+231012,1,125.5413625,23.16994444,J082209.9+231011,FITS,08 22 09.927,+23 10 11.80,0.014,12.53,13.47,0.137,2.01,0.65,147.6,1,s,0,1995.979,2450075.9,0.731
002225.68+050208.7,5.60703476887528,5.035771193689178,3.161,VI,J002225.6+050209,1,002225+050209,1,J002225+050207,1,J002225.6+050209,1,5.6070125,5.03583611,J002225.6+050209,FITS,00 22 25.683,+05 02 09.01,0.014,97.72,100.93,0.106,1.21,0.93,170.9,2,s,0,2009.292,2454939.2,6.357
212026.73+044807.6,320.111413568665,4.802116528816909,3.152,VI,J212026.7+044807,1,212026+044807,1,J212027+044820,1,J212026.7+044807,1,320.11143333,4.80214722,J212026.7+044807,FITS,21 20 26.744,+04 48 07.73,0.014,114.67,117.96,0.123,1.02,0.95,130.9,1,s,0,2009.267,2454930.0,24.709
212555.33-012719.5,321.4805709862128,-1.455417968,3.149,VI,J212555.3-012719,1,212555-012717,1,J212555-012715,1,J212555.3-012719,1,321.480475,-1.45545,J212555.3-012719,FITS,21 25 55.314,-01 27 19.62,0.014,18.92,23.61,0.138,4.04,1.15,53.9,1,s,0,1995.911,2450050.9,4.682
090549.05+041010.1,136.45440785543263,4.169486213351499,3.148,VI,J090549.0+041010,1,090549+041010,1,J090548+041012,1,J090548.9+041010,1,136.45439167,4.16949722,J090549.0+041010,FITS,09 05 49.054,+04 10 10.19,0.014,187.35,194.64,0.15,1.27,1.02,134.3,1,s,0,2000.506,2451729.9,418.334
